IPv4 bytes,IPv4 pkts,IPv4 flows,Unique IPv4 addresses,Unique IPv4 source addresses,Unique IPv4 destination addresses,Unique IPv4 TCP source ports,Unique IPv4 TCP destination ports,Unique IPv4 UDP source ports,Unique IPv4 UDP destination ports
13848286868,22136658,1170016,253075,96200,157340,61204,58760,14748,22018
3594933046,7274216,587805,258144,50137,208131,50129,43438,16905,7352
11733123426,16838207,990058,289637,124785,165270,57396,60000,16990,9939
13800197457,22803268,1192338,242661,103775,139406,63512,61754,12771,13619
10001432382,20300723,1182760,303878,79254,225299,60050,61018,21373,14121
13062167106,23102771,1236183,243890,122081,122297,63122,61609,13050,15384
23352894494,37099688,1992627,336108,83119,253736,62716,65314,35959,12518
4390693530,11318834,1126992,172040,52919,119438,41455,65529,18868,13412
13524548401,21528101,1092267,237695,94310,143850,62668,60796,12588,17594
3702902386,7086997,574697,254542,51239,203417,47682,44427,16387,7961
18533175391,29137425,1944195,355342,80351,275725,58909,64477,23715,12907
12340997050,20813531,1151910,271712,102974,169313,63389,59985,12500,15553
10112298739,24116694,1193250,322600,79022,244267,59986,62054,24830,13546
13258796067,22891427,1228441,235950,113940,122527,63824,60396,13665,14465
4798351227,9806066,872896,170078,48586,121775,37950,65296,27982,14368
21980382279,33493734,1859291,330981,82774,248917,58745,64106,42671,12829
10405524302,20548338,1193758,308033,82708,226055,59969,62060,20859,14565
23196032160,42268504,4337827,383666,92720,291692,65536,64477,25461,12093
12474570207,18128672,968554,272684,119026,154083,55762,61076,14413,11195
3666239422,7195074,600965,268978,52060,217027,46375,44255,17827,7209
14944206855,40107676,1194286,234467,103812,131170,62955,62801,14457,27042
4027223642,8853528,842936,165499,46717,119057,39224,65316,26989,13505
22527497307,33350892,1801556,334480,86637,248510,61657,64145,41477,12004
13125582870,22504496,1212102,234961,119845,115584,63974,60083,15025,16287
23744775905,34547146,2006806,359383,84514,275667,60275,64502,23323,11928
13140415922,22981318,1245865,250271,114583,136249,63573,61481,14172,14624
12420383864,20667070,975222,283862,120727,163545,56626,60157,14680,10812
23815256142,34675390,2075596,368076,85961,282832,60844,64560,31224,13059
13712070631,22892416,1197001,229559,109820,120237,63189,61548,14045,16834
12041374277,16989162,981249,278647,123632,155422,55866,60870,15674,10363
12835745151,22497005,1208427,236757,118154,119103,63280,60474,14242,15972
4425325375,9139704,851300,169788,49483,120571,38867,65314,32060,14206
22337050474,34614451,1749565,326485,81104,246079,58753,64107,26185,11718
3539581329,6936821,589207,260166,52890,207411,46798,47166,16208,7113
13844887697,22557118,1177778,237691,101380,136791,62967,61062,15164,15660
22957941655,33873101,2045575,366401,84672,282467,59832,64499,24852,12238
11773465470,16860273,945690,279785,124160,156030,56386,60287,15388,9926
10358622023,20699002,1182248,300255,81157,219832,59894,61605,20886,13709
4596237767,9759892,860606,177675,48661,129330,43693,65234,19796,13681
21532544637,33021258,1837797,335103,83510,252353,59933,64190,33599,11610
9887179777,20175121,1154170,302257,79020,223947,59758,61392,22767,13671
13057064557,24894670,1259012,223113,115673,108002,63615,61724,15188,21607
23532177800,34670570,2123745,402331,87404,315642,59948,64490,26257,13044
15057387758,39481207,1221006,291754,102114,190124,63765,60662,12943,13738
13886020909,21857366,1076891,223142,94631,128978,61736,59756,13024,14912
3436398446,7003260,560443,240422,49349,191162,49738,43578,17005,7511
22663886985,34060147,1894396,332642,82268,251153,59705,64235,34165,13171
4125254404,9739329,874261,166343,48039,118593,39859,65267,18974,13264
9685599086,19518674,1131272,300630,82333,219061,59491,61610,21123,14046
13331654881,22590033,1204011,228000,118356,110212,62737,60578,13463,14955
11989249975,16872950,964126,270224,117373,153269,56677,60835,16295,9461
13992428199,23175186,1224454,260169,105465,155190,64010,61181,13190,15999
13767487607,22213815,1125467,227988,98706,129723,62256,60822,13532,15742
3448413514,6847753,595500,264918,52904,212132,48453,48357,17769,8704
12947352967,22420502,1224661,234511,120236,114795,63182,61237,13727,22805
4661869347,6641803,407456,147625,73849,73985,38980,45766,9277,6157
23582300173,34662733,2063412,351091,83056,268764,61215,64550,31180,12626
13500409378,22725424,1213599,225724,110937,115279,63478,60766,14279,17590
10372396386,20643149,1192471,296494,81072,216241,60261,61678,22695,13615
14703199252,39072356,1169956,240940,101620,139824,62662,60825,15619,20091
3598401668,7103019,580305,259097,50998,208220,46388,45724,16550,7810
22319921914,33585920,1786289,329352,82958,247096,59035,64049,41065,11638
4066338012,8825901,853826,166699,47088,119876,38454,65320,29180,13066
11965126012,17000522,1002926,306112,122352,184167,56026,61117,14339,10647
23200130711,34131014,2048098,364270,86262,278740,60909,64507,24876,13434
20270629578,31955342,1836711,333527,85877,248435,62166,64278,26967,12127
4265991696,9586810,849824,169959,48197,122033,40393,65185,19632,13302
22546275374,33440495,2084264,370497,84967,286304,59860,64445,31432,12679
3884484786,7723415,496681,170340,52009,118676,44234,47481,11943,7741
14241663886,27350127,1185226,252308,102237,150569,62784,60474,13844,17014
13220563818,23100165,1251705,220707,113595,107612,63993,61744,12949,22329
11769469473,16853994,992874,270271,119704,150970,56612,61126,15362,10190
4437696511,10440082,979553,170251,49996,120566,40652,65462,20450,13439
22391585877,33775144,1919413,333410,83084,251105,60631,65169,39173,12700
3318417586,6550395,545170,240575,49527,191171,47020,44291,17265,7553
10503949220,20663801,1234688,307803,84789,223731,60104,61923,22806,15066
13963621700,21778355,1093339,230563,94679,136338,62018,59743,12771,23038
9790529264,19863240,1184610,321674,78807,243516,60671,61460,21537,13623
13811036981,22878050,1206953,249487,107391,142585,63935,61489,13413,14552
13277888818,22810815,1220253,225214,115942,109860,63418,60944,14634,15791
3532020642,6868354,591408,267152,50590,216673,47057,47436,16383,7941
14000192709,22633528,1163357,236489,99634,137351,63067,62116,13705,14000
3449107696,7018647,583596,250924,49631,201409,50490,45531,17096,7269
13861938805,22262971,1132253,241566,97825,144248,61951,59863,14419,18187
12849761142,22787973,1212265,241131,117029,124622,63067,61157,12726,15198
14132916977,23424986,1259270,286315,106128,180685,63834,61412,12907,21047
9990433188,22359923,1194729,305330,79176,226854,59512,61425,22628,13732
3549857779,7120771,593341,262489,49512,213080,50788,44533,16905,8005
13568214075,21569797,1132321,240976,95047,146400,61568,60153,14270,19239
4446417321,11017816,1049631,178020,52312,126039,42134,65505,18417,13828
23554110568,40069102,1963216,332557,85538,247782,61456,65297,30405,11483
13008369332,22375813,1206843,229156,111027,118621,63776,60066,14382,14101
12015407346,17084088,996852,284756,124587,160612,58190,59826,18365,10595
22080557561,38249414,6667761,368229,86896,282101,65536,64499,24956,12988
13688605677,22465499,1176155,244277,104471,140305,63553,61577,14184,14416
9939483957,19879544,1166371,306865,82363,225243,59576,61520,20976,14136
22122799679,33665332,1864812,332537,85083,248190,59013,64141,41045,12436
5023333226,10028610,892526,174726,50085,124947,39055,65329,28596,14930
22579126776,35244026,2041506,372513,87606,285687,60524,64438,24251,12149
12292333057,20404739,974705,272200,123774,148842,56125,60484,14745,10779
22551122368,33558043,1811798,326140,83075,243820,60850,64136,42133,12274
4463549784,9415102,870200,169027,48913,120416,38499,65317,27504,14166
14739290620,39036755,1172647,243586,104513,139579,62453,61589,12361,21106
4042186352,7574005,597075,265452,52954,212627,47821,45055,16718,7306
23972545567,34821165,2016791,356684,83787,273700,59669,64576,22751,12965
10159799716,20604366,1196118,304195,83138,221839,60006,62458,20228,14663
12997554129,22723174,1223035,229679,111460,118773,63279,61177,13660,15002
13198132262,22610876,1215131,234240,121992,112752,62958,60921,14615,14855
12214372363,17607648,1007628,311458,122675,189233,55763,61215,15481,11384